column_name,table_name,description,unit,data_type,source_type,input_or_target,derived_flag,allowed_range,generation_logic
project_id,hydro_projects,Project feature project_id,various,str,synthetic,input,False,min: HP-001 max: HP-400,Constraint-based synthetic hydro physics formula
project_name,hydro_projects,Project feature project_name,various,str,synthetic,input,False,min: Allain Duhangan Hydro Project Unit-107 max: Vyasi Hydro Project Unit-49,Constraint-based synthetic hydro physics formula
project_category,hydro_projects,Project feature project_category,various,str,synthetic,input,False,min: Large Hydro max: Small Hydro,Constraint-based synthetic hydro physics formula
project_type,hydro_projects,Project feature project_type,various,str,synthetic,input,False,min: pumped max: storage,Constraint-based synthetic hydro physics formula
state,hydro_projects,Project feature state,various,str,synthetic,input,False,min: Andhra Pradesh max: West Bengal,Constraint-based synthetic hydro physics formula
district,hydro_projects,Project feature district,various,str,synthetic,input,False,min: Alluri Sitharama Raju max: West Sikkim,Constraint-based synthetic hydro physics formula
river,hydro_projects,Project feature river,various,str,synthetic,input,False,min: Alaknanda max: Yamuna,Constraint-based synthetic hydro physics formula
river_basin,hydro_projects,Project feature river_basin,various,str,synthetic,input,False,min: Brahmaputra Basin max: West Flowing Rivers,Constraint-based synthetic hydro physics formula
terrain_type,hydro_projects,Project feature terrain_type,various,str,synthetic,input,False,min: Gorge max: Plain,Constraint-based synthetic hydro physics formula
development_type,hydro_projects,Project feature development_type,various,str,synthetic,input,False,min: Brownfield max: Refurbishment,Constraint-based synthetic hydro physics formula
climate_zone,hydro_projects,Project feature climate_zone,various,str,synthetic,input,False,min: Alpine max: Tropical,Constraint-based synthetic hydro physics formula
elevation_m,hydro_projects,Project feature elevation_m,various,float64,synthetic,input,False,min: 101.1 max: 3174.8,Constraint-based synthetic hydro physics formula
capacity_mw,hydro_projects,Project feature capacity_mw,various,float64,synthetic,input,False,min: 0.00055 max: 1972.03,Constraint-based synthetic hydro physics formula
number_of_units,hydro_projects,Project feature number_of_units,various,int64,synthetic,input,False,min: 1 max: 8,Constraint-based synthetic hydro physics formula
unit_capacity_mw,hydro_projects,Project feature unit_capacity_mw,various,float64,synthetic,input,False,min: 0.0006 max: 451.6875,Constraint-based synthetic hydro physics formula
commissioning_year,hydro_projects,Project feature commissioning_year,various,int64,synthetic,input,False,min: 2000 max: 2022,Constraint-based synthetic hydro physics formula
project_life_years,hydro_projects,Project feature project_life_years,various,int64,synthetic,input,False,min: 35 max: 50,Constraint-based synthetic hydro physics formula
gross_head_m,hydro_projects,Project feature gross_head_m,various,float64,synthetic,input,False,min: 5.2 max: 549.8,Constraint-based synthetic hydro physics formula
net_head_m,hydro_projects,Project feature net_head_m,various,float64,synthetic,input,False,min: 5.0 max: 523.2,Constraint-based synthetic hydro physics formula
design_flow_m3s,hydro_projects,Project feature design_flow_m3s,various,float64,synthetic,input,False,min: 0.002 max: 3778.758,Constraint-based synthetic hydro physics formula
minimum_flow_m3s,hydro_projects,Project feature minimum_flow_m3s,various,float64,synthetic,input,False,min: 0.0 max: 634.825,Constraint-based synthetic hydro physics formula
maximum_flow_m3s,hydro_projects,Project feature maximum_flow_m3s,various,float64,synthetic,input,False,min: 0.003 max: 4545.038,Constraint-based synthetic hydro physics formula
annual_inflow_mcm,hydro_projects,Project feature annual_inflow_mcm,various,float64,synthetic,input,False,min: 0.05 max: 109318.75,Constraint-based synthetic hydro physics formula
catchment_area_km2,hydro_projects,Project feature catchment_area_km2,various,float64,synthetic,input,False,min: 2.2 max: 14985.3,Constraint-based synthetic hydro physics formula
reservoir_volume_mcm,hydro_projects,Project feature reservoir_volume_mcm,various,float64,synthetic,input,False,min: 0.012 max: 2489.9,Constraint-based synthetic hydro physics formula
dam_type,hydro_projects,Project feature dam_type,various,str,synthetic,input,False,min: Barrage/Weir max: Trench Intake,Constraint-based synthetic hydro physics formula
dam_height_m,hydro_projects,Project feature dam_height_m,various,float64,synthetic,input,False,min: 2.0 max: 229.6,Constraint-based synthetic hydro physics formula
dam_length_m,hydro_projects,Project feature dam_length_m,various,float64,synthetic,input,False,min: 7.4 max: 1092.2,Constraint-based synthetic hydro physics formula
